HOSPITAL NAME,CITY,AREA,ADDRESS,DOCTORS,CONTACT
Ch. Pervaiz Elahi Institute Of Cardiology Hospital,Multan,Dera Adda,"Ch. Pervaiz Elahi Institute Of Cardiology Hospital, Abdali Rd, Tipu Sultan Colony, Dera Adda, Multan",2,(061) 9201045
Home Visits Multan Hospital,Multan,Digital,"Home Visits Multan Hospital, Mutan, Digital, Multan",7,3061582167
Asghari Tariq Hospital,Multan,Faizabad,"Asghari Tariq Hospital, Allah Wasaya Chowk, Opposite Allah Wasaya Textile Mill, Faizabad, Multan",2,3346061828
Afzal Medicare Hospital,Multan,Garden Town,"Afzal Medicare Hospital, Main Sher Shah Road, Near Kacha Phatak,? Sher Shah Road, Garden Town, Multan",1,0301 8731179
Sherwani Gastro Care Hospital,Multan,Garden Town,"Sherwani Gastro Care Hospital, Pearl Plaza Near Ubl Bank Shell Pum Opposite Garden Town Sher Shah Road, Garden Town, Multan",1,3024571991
Z&A (Zaheer And Anjum) Skin Care Clinic,Multan,Garden Town,"Z&A (Zaheer And Anjum) Skin Care Clinic, Cb 206 Sher Shah Road Near Bilal Masjid, Garden Town, Multan",1,3021771500
Ali Child Clinic,Multan,Garden Town,"Ali Child Clinic, Pearl Plaza Garden Town Near Shell Petrol Pump, Sher Shah Road, Garden Town, Multan",1,3336142772
Ameer Patient Care Hospital,Multan,Garden Town,"Ameer Patient Care Hospital, Garden Town, Garden Town, Multan",-,(061) 6514497
Hareem Family Care Hospital,Multan,Garden Town,"Hareem Family Care Hospital, Dr Summaira Tariq, Garden Town, Multan",2,3007482211
Eshaal Medicare Clinic,Multan,Garden Town,"Eshaal Medicare Clinic, House # 132, Street A, Block 1, Garden Town, Multan",1,3008300050
Hussain Physio Clinic,Multan,Garden Town,"Hussain Physio Clinic, Ahmad Medical Complex, Garden Town, Multan",1,3040552564
Zayan Homeopthic Medical Centre,Multan,Ghanta Ghar,"Zayan Homeopthic Medical Centre, Katchery Road,, Ghanta Ghar, Multan",1,3070711990
Ali Medical Complex Multan Hospital,Multan,Ghous E Azam Road,"Ali Medical Complex Multan Hospital, Ghous E Azam Road Near Sehwera Chock, Ghous-E-Azam Road, Multan",2,3116189449
Smile Laser Eye Centre,Multan,Ghous E Azam Road,"Smile Laser Eye Centre, Near High Court, Near Avari Express Hotel, Gillani Colony, Ghous-E-Azam Road, Multan",-,0306 1009962
Zia Ahmed Ali Medical Centre,Multan,Ghous E Azam Road,"Zia Ahmed Ali Medical Centre, 2528, Near Gillani Colony, Ghous-E-Azam Road, Multan",-,3467323610
Waqar Laser Eye Clinic,Multan,Gillani Colony,"Waqar Laser Eye Clinic, Ahsan Colony, Gillani Colony, Multan",1,3166646537
Nishtar Hospital,Multan,Gillani Colony,"Nishtar Hospital, Nishtar Road, Gillani Colony, Multan",11,619200231
M.A.S.H. Medical Centre,Multan,Gillani Colony,"M.A.S.H. Medical Centre, First Floor Shujra Tower Gillani Colony, Gillani Colony, Multan",5,3171627628
Minar Multan Institute Of Nuclear Medicine And Radiology Hospital,Multan,Gillani Colony,"Minar Multan Institute Of Nuclear Medicine And Radiology Hospital, Inside Nishtar Hospital, Gillani Colony, Multan",3,619200254
Bakhtawer Amin City Center,Multan,Gillani Colony,"Bakhtawer Amin City Center, Chungi No. 1 Near Nishtar Hospital, Gillani Colony, Multan",3,3337633712
"Kkt Orthopedic Spine Center, Multan",Multan,Gillani Colony,"Kkt Orthopedic Spine Center, Multan, Al Mustafa House, Ghaus-E-Azam Road, Gillani Colony, Gillani Colony, Multan",1,(061) 6304309
Mash Medical Centre,Multan,Gillani Colony,"Mash Medical Centre, First Floor Shujra Tower Gillani Colony, Gillani Colony, Multan",-,3171627628
